id,MusicalTopics
9be163c1-e5cb-4547-a6bd-1dde954669ea,"{'Pop': 6.8181818181818175, 'Travel': 11.363636363636363, 'School': 4.545454545454546, 'Book': 6.8181818181818175, 'Discovery': 4.545454545454546, 'Family': 11.363636363636363, 'Time': 11.363636363636363, 'Dating': 20.454545454545457, 'Home': 11.363636363636363, 'Power': 11.363636363636363}"
56f59ab5-ce0f-4a18-a7c0-01f658a685ee,"{'Adventure': 15.04424778761062, 'Love': 7.964601769911504, 'Music': 4.424778761061947, 'Legacy': 9.734513274336283, 'Courage': 22.123893805309734, 'Celebration': 7.079646017699115, 'Family': 4.424778761061947, 'Home': 4.424778761061947, 'Tragedy': 18.58407079646018, 'Hope': 6.1946902654867255}"
32a81e39-4d95-4e2e-9429-7b4022ad6e7b,"{'Travel': 7.6923076923076925, 'Love': 17.094017094017094, 'Crime': 10.683760683760683, 'Diversity': 8.974358974358974, 'Discovery': 11.11111111111111, 'Change': 8.974358974358974, 'Spring': 8.11965811965812, 'History': 7.6923076923076925, 'Dating': 11.965811965811966, 'Home': 7.6923076923076925}"
c0da31fb-8efd-412b-8498-3004ea5a2678,"{'Royal': 33.198380566801625, 'Travel': 4.8582995951417, 'Love': 9.31174089068826, 'Magic': 14.979757085020243, 'Diversity': 5.668016194331984, 'Family': 6.477732793522267, 'Change': 5.668016194331984, 'History': 5.263157894736842, 'Home': 8.502024291497975, 'Dating': 6.0728744939271255}"
bba42bac-4daa-4f08-bf83-019b587ab386,"{'Pop': 6.8493150684931505, 'Love': 10.95890410958904, 'Book': 9.58904109589041, 'Diversity': 5.47945205479452, 'Family': 10.95890410958904, 'Time': 20.54794520547945, 'Change': 6.8493150684931505, 'History': 6.8493150684931505, 'Home': 9.58904109589041, 'Power': 12.32876712328767}"
93a0bb0e-bc43-4690-bc3a-81bbabd41ca6,"{'Art': 13.636363636363635, 'Passion': 4.545454545454546, 'Legacy': 22.727272727272727, 'Love': 9.090909090909092, 'Society': 9.090909090909092, 'History': 13.636363636363635, 'Identity': 4.545454545454546, 'Freedom': 9.090909090909092, 'Power': 9.090909090909092, 'Revolution': 4.545454545454546}"
aabfa188-58c5-432f-8ee1-9fd32d2b3af7,"{'Pop': 14.285714285714285, 'Rock': 8.333333333333332, 'Work': 17.857142857142858, 'Family': 8.928571428571429, 'Time': 5.357142857142857, 'Fall': 4.166666666666666, 'Home': 8.928571428571429, 'Dating': 5.952380952380952, 'Power': 17.261904761904763, 'Sports': 8.928571428571429}"
79335441-3182-4246-abbe-d1a8bbadbaf8,"{'Pop': 4.49438202247191, 'Travel': 3.3707865168539324, 'Sturggle': 31.46067415730337, 'Growth': 4.49438202247191, 'Discovery': 3.3707865168539324, 'Family': 23.595505617977526, 'Sacrifice': 3.3707865168539324, 'God': 3.3707865168539324, 'Home': 17.97752808988764, 'Hope': 4.49438202247191}"
293b249d-d6f2-42f1-83b4-34985d35bf41,"{'Teenager': 6.578947368421052, 'School': 17.105263157894736, 'Love': 7.894736842105263, 'Courage': 6.578947368421052, 'Fantasy': 10.526315789473683, 'Family': 6.578947368421052, 'History': 7.894736842105263, 'Dating': 9.210526315789473, 'Home': 6.578947368421052, 'Power': 21.052631578947366}"
eb310ff7-1c6c-4d5f-85d0-d43d0e76269b,"{'Book': 9.00900900900901, 'Love': 7.207207207207207, 'Work': 13.513513513513514, 'Discovery': 6.306306306306306, 'Family': 17.117117117117118, 'Fall': 7.207207207207207, 'Time': 5.405405405405405, 'Home': 18.01801801801802, 'Dating': 9.00900900900901, 'Power': 7.207207207207207}"
d6618012-e01b-4a52-a595-7b06c6eca5db,"{'Royal': 5.769230769230769, 'Love': 3.8461538461538463, 'Work': 26.923076923076923, 'Family': 23.076923076923077, 'Time': 9.615384615384617, 'Fall': 5.769230769230769, 'Classical': 3.8461538461538463, 'History': 3.8461538461538463, 'Home': 15.384615384615385, 'Power': 1.9230769230769231}"
6cb2a913-744a-4703-8249-f56a8655f630,"{'Pop': 7.18232044198895, 'Book': 13.259668508287293, 'Love': 9.392265193370166, 'Family': 13.259668508287293, 'Time': 9.392265193370166, 'Change': 6.077348066298343, 'History': 12.70718232044199, 'Home': 17.67955801104972, 'Dating': 4.41988950276243, 'Power': 6.629834254143646}"
3a4f97e9-08ea-4465-8ed8-15c6d4b70e97,"{'Pop': 12.5, 'Travel': 8.333333333333332, 'Leadership': 4.166666666666666, 'Love': 31.25, 'Book': 6.25, 'Discovery': 6.25, 'Time': 4.166666666666666, 'Change': 8.333333333333332, 'History': 10.416666666666668, 'Dating': 8.333333333333332}"
f9724999-b208-4aa4-80bf-7e080df6c714,"{'Dream': 4.477611940298507, 'Royal': 7.462686567164178, 'Fairytale': 5.970149253731343, 'Book': 8.955223880597014, 'Love': 14.925373134328357, 'Magic': 18.65671641791045, 'Time': 18.65671641791045, 'History': 9.701492537313433, 'Home': 6.7164179104477615, 'Hope': 4.477611940298507}"
0b003e24-1ee5-4405-8bc7-f5392edb76d7,"{'Rock': 7.142857142857142, 'Love': 11.607142857142858, 'Book': 9.821428571428571, 'Family': 33.035714285714285, 'Time': 6.25, 'Spring': 6.25, 'History': 5.357142857142857, 'Home': 10.714285714285714, 'Tragedy': 5.357142857142857, 'Power': 4.464285714285714}"
000154a5-ca9d-4c5f-a80c-a5c83774b7d0,"{'Pop': 6.008583690987124, 'Travel': 6.437768240343347, 'School': 5.150214592274678, 'Animals': 15.450643776824036, 'Love': 9.871244635193133, 'Fashion': 6.008583690987124, 'Family': 11.587982832618025, 'History': 8.583690987124463, 'Home': 23.605150214592275, 'Power': 7.296137339055794}"
bf88209b-9f78-4395-a6c3-395ff560b774,"{'Pop': 4.6875, 'Travel': 5.46875, 'Love': 25.78125, 'Book': 13.28125, 'Fashion': 7.03125, 'Family': 8.59375, 'Time': 13.28125, 'History': 8.59375, 'Home': 5.46875, 'Power': 7.8125}"
69ecaf45-00a6-4bfd-9f75-1faa403c451d,"{'Royal': 8.61244019138756, 'Pop': 7.177033492822966, 'Love': 14.832535885167463, 'Book': 10.047846889952153, 'Family': 11.961722488038278, 'War': 6.698564593301436, 'Dating': 8.133971291866029, 'Hope': 7.177033492822966, 'Power': 6.698564593301436, 'Revolution': 18.660287081339714}"
c2e5ed17-c0e3-45de-9385-c0f3ed9a2150,"{'Travel': 10.714285714285714, 'School': 10.714285714285714, 'Rock': 14.285714285714285, 'Book': 7.142857142857142, 'Discovery': 7.142857142857142, 'Family': 10.714285714285714, 'Change': 7.142857142857142, 'History': 14.285714285714285, 'Home': 7.142857142857142, 'Power': 10.714285714285714}"
596f3d68-3e6a-4281-9203-8a5a391b7b7c,"{'Royal': 6.25, 'Diversity': 6.25, 'Magic': 7.5, 'Fantasy': 11.25, 'Family': 8.125, 'Change': 15.625, 'History': 12.5, 'Home': 11.25, 'Tragedy': 5.625, 'Power': 15.625}"
ced8c73a-ef9f-4931-a46e-d268b8143a91,"{'Pop': 6.8181818181818175, 'Adventure': 3.4090909090909087, 'Book': 14.772727272727273, 'Love': 5.681818181818182, 'Diversity': 3.4090909090909087, 'Time': 36.36363636363637, 'History': 6.8181818181818175, 'Home': 11.363636363636363, 'Dating': 6.8181818181818175, 'Power': 4.545454545454546}"
0bafaf9f-3f90-4639-83a4-ce914c43139d,"{'Love': 7.177033492822966, 'Book': 6.698564593301436, 'Work': 11.004784688995215, 'Family': 19.138755980861244, 'Time': 6.698564593301436, 'Fall': 5.741626794258373, 'History': 11.004784688995215, 'Home': 19.138755980861244, 'Dating': 6.220095693779904, 'Power': 7.177033492822966}"
08f143f2-f08d-4079-bbb3-b77c09f1eee4,"{'Leadership': 2.941176470588235, 'Growth': 2.941176470588235, 'Book': 2.941176470588235, 'Work': 29.411764705882355, 'Celebration': 5.88235294117647, 'Family': 5.88235294117647, 'History': 2.941176470588235, 'Home': 17.647058823529413, 'Dating': 8.823529411764707, 'Sports': 20.588235294117645}"
545a9ddd-0432-4629-a02e-288b7beb8d4a,"{'Royal': 14.97005988023952, 'Pop': 5.389221556886228, 'Travel': 10.778443113772456, 'Magic': 4.790419161676647, 'Family': 16.16766467065868, 'Change': 4.191616766467066, 'History': 13.77245508982036, 'Home': 16.16766467065868, 'Dating': 4.790419161676647, 'Power': 8.982035928143713}"
0ad56c2e-9141-4798-be53-2cf8b17d6735,"{'Pop': 8.19672131147541, 'Travel': 6.557377049180328, 'School': 9.836065573770492, 'Love': 14.754098360655737, 'Book': 8.19672131147541, 'Family': 8.19672131147541, 'History': 14.754098360655737, 'Home': 16.39344262295082, 'Dating': 6.557377049180328, 'Power': 6.557377049180328}"
c51d5faa-0808-4faf-8746-da7592a33c07,"{'Forgiveness': 9.230769230769232, 'Adventure': 3.076923076923077, 'Magic': 9.89010989010989, 'Fashion': 3.7362637362637363, 'Diversity': 3.076923076923077, 'Family': 23.296703296703296, 'Isolation': 5.274725274725275, 'Home': 25.494505494505493, 'Dating': 3.5164835164835164, 'Power': 13.406593406593407}"
4ad0bb0a-632d-4973-829a-7f8312fe3a79,"{'Dream': 6.779661016949152, 'Love': 5.084745762711865, 'Fashion': 16.94915254237288, 'Family': 16.94915254237288, 'Summer': 6.779661016949152, 'Change': 11.864406779661017, 'Spring': 5.084745762711865, 'Home': 15.254237288135593, 'Power': 8.47457627118644, 'Hope': 6.779661016949152}"
17cc6826-8cb1-4d0f-bfb6-7b89c2c00ebb,"{'Royal': 7.575757575757576, 'Pop': 6.565656565656567, 'Love': 17.67676767676768, 'Book': 7.07070707070707, 'Family': 12.121212121212121, 'Time': 13.131313131313133, 'Change': 6.565656565656567, 'History': 7.07070707070707, 'Home': 16.666666666666664, 'Power': 5.555555555555555}"
90c48210-a03b-4b99-852c-d53ac53c59f4,"{'Pop': 1.694915254237288, 'Teenager': 1.694915254237288, 'Heaven': 1.694915254237288, 'Rock': 1.694915254237288, 'Disco': 32.20338983050847, 'Love': 13.559322033898304, 'Book': 1.694915254237288, 'Summer': 30.508474576271187, 'Family': 1.694915254237288, 'Home': 13.559322033898304}"
